Wall time,Step,Value
1697071548.7844048,173233,5.451738616102375e-08
1697071565.5438437,173694,3.4869415799221315e-08
1697071569.231111,173794,3.0573541920375646e-08
1697071586.1360545,174252,3.142641702424953e-08
1697071588.3014882,174312,3.508599633050835e-08
1697071592.438085,174424,3.3232208096478644e-08
1697071611.1322525,174932,2.693925083008253e-08
1697071614.7423577,175026,3.0993241750820744e-08
1697071641.3247232,175761,3.657329017414668e-08
1697071647.4363074,175929,3.1182260329387645e-08
1697071648.227923,175953,2.7150525383490276e-08
1697071654.3735867,176116,3.167757967048601e-08
1697071721.6176784,177965,4.838452483113542e-08
1697071721.9076107,177973,5.8411057324292415e-08
1697071732.0002716,178249,2.7430127502725554e-08
1697071738.8662415,178436,2.3997156262112185e-08
1697071744.0358624,178580,2.4774900353463636e-08
1697071744.359546,178590,4.274644993529364e-08
1697071760.2046776,179021,3.8076990449553705e-08
1697071763.2269967,179101,2.959239608912867e-08
1697071768.8321016,179254,2.4348722149625246e-08
1697071778.0326364,179505,2.87551706890099e-08
1697071784.045686,179668,2.8706532262390283e-08
1697071797.455819,180033,3.9513295746473887e-08
1697071844.0373056,181297,9.119179367189645e-08
1697071850.5771885,181478,2.6658780072352783e-08
1697071859.1138763,181709,4.2047386017429744e-08
1697071860.624856,181752,2.5593930530476428e-08
1697071878.6404197,182069,2.9344596086389174e-08
1697071954.6498647,183606,3.024128147899319e-08
1697071958.9387236,183724,3.0528767069881724e-08
1697072023.5252843,185500,5.425857807495049e-08
1697072034.7003279,185804,2.4056740599576187e-08
1697072036.2648854,185847,3.346779564594726e-08
1697072044.2284644,186066,2.7502746746677076e-08
1697072046.8394988,186139,3.9202866730647656e-08
1697072065.9059439,186668,2.5047681262435617e-08
1697072071.4138727,186819,1.2892850520529464e-07
1697072078.3720467,187011,3.0789347960080704e-08
1697072079.7516427,187051,4.1015923102349916e-08
1697072132.1008766,188491,3.548169758005315e-08
1697072146.4561846,188881,3.5999299541344953e-08
1697072149.2636473,188958,4.9398618529039595e-08
1697072171.293502,189565,2.994580938775471e-08
1697072190.1484601,190085,2.7451623196839137e-08
1697072202.7078812,190434,5.740253783415028e-08
1697072221.5979736,190944,3.291206951416825e-08
1697072239.8209302,191446,5.821564386110367e-08
1697072255.3631885,191875,3.40749153338038e-08
1697072278.2931333,192498,4.138199471981352e-08
1697072301.5840535,193140,6.187424617110082e-08
1697072312.5130088,193440,3.703524953380111e-08
1697072320.5212584,193667,3.5771385853422544e-08
1697072336.0006807,194092,4.389833918594377e-08
1697072340.797766,194223,1.0510052561585326e-07
1697072366.4313774,194927,4.308537526753753e-08
1697072367.489169,194956,4.2329421745535e-08
1697072376.3014743,195194,3.099734513511976e-08
1697072383.6113129,195396,3.1294959512706555e-08
1697072421.9701018,196445,4.115233309676114e-08
1697072423.3270206,196483,3.818147575884723e-08
1697072451.3842053,197256,6.312032496680331e-08
1697072487.4708438,198247,7.318118377952487e-08
1697072490.7634704,198338,6.477480951616599e-08
1697072500.2528908,198602,2.8013051434072622e-08
1697072523.9665577,199252,3.868731113243484e-08
1697072535.3621244,199567,2.7279302372562597e-08
1697072535.7558315,199579,3.2706807928661874e-08
1697072538.752359,199660,3.1452287885258556e-08
1697072539.1330376,199671,2.906948282088706e-08
1697072541.9685278,199746,3.4407253934887194e-08
1697072544.0007849,199804,3.676864679391656e-08
1697072555.5948899,200126,3.528137071384663e-08
1697072560.6148908,200265,7.956284520105328e-08
1697072570.0827286,200528,2.6403521147244646e-08
1697072595.7406073,201233,2.3344838950833946e-08
1697072599.0325549,201321,2.1226428614795623e-08
1697072620.9348364,201930,4.390458840930478e-08
1697072631.682028,202220,3.4503894852377925e-08
1697072648.619064,202688,2.9443958382557867e-08
1697072723.1732879,204749,3.3075430394546856e-08
1697072759.715685,205754,3.1079398610245335e-08
1697072776.2061884,206208,2.8491552228615546e-08
1697072793.7554588,206697,4.064406056158987e-08
1697072809.2646968,207125,3.697339323593951e-08
1697072818.0671992,207369,3.418848493197402e-08
1697072859.6000078,208520,3.972650475247974e-08
1697072872.0989852,208861,6.139526931292494e-08
1697072887.1299894,209276,4.3411692018935355e-08
1697072903.699148,209727,3.368940681980348e-08
1697072917.6563292,210112,2.7956918557947574e-08
1697072932.2796898,210517,3.236718981725062e-08
1697072936.6320446,210634,3.123199832089085e-08
1697072945.0368278,210862,2.8002892449308092e-08
1697072955.6830928,211155,1.8449908267825776e-08
1697072965.905182,211439,4.000171571760802e-08
1697072995.3629239,212252,3.3236236873790403e-08
1697073004.9350786,212513,3.858987440708006e-08
1697073007.6258178,212589,3.359468792041298e-08
1697073019.100569,212904,2.651084329841069e-08
1697073027.114986,213125,3.6067536512973675e-08
1697073039.436417,213463,3.2726621412848544e-08
1697073041.2347553,213514,5.322750240566165e-08
1697073042.2531586,213545,3.121631308999895e-08
1697073045.0009315,213619,3.0805964001956454e-08
1697073048.4529626,213713,4.80725361740042e-08
1697073068.5183709,214262,2.4614491778152114e-08
1697073070.5920773,214319,3.241655122110387e-08
1697073081.9058933,214632,5.6230998524142706e-08
1697073094.131774,214968,3.075496834981095e-08
1697073097.4566064,215059,2.808025989509133e-08
1697073098.7319179,215094,2.6412497078354136e-08
1697073100.3421464,215139,5.191568064333296e-08
